date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:35:08	82894/82894	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:35:08%20GMT	https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5577676-gerez-du-code-asynchrone	openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5577676-gerez-du-code-asynchrone.html	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web)
01:35:09	77983/77983	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:35:09%20GMT	https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5866911-parallelisez-plusieurs-requetes-http	openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5866911-parallelisez-plusieurs-requetes-http.html	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web)
01:35:10	68474/68474	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:35:10%20GMT	https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/exercises/3197	openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/exercises/3197.html	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web)
01:35:11	73227/73227	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:35:10%20GMT	https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5577726-optimisez-votre-code	openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5577726-optimisez-votre-code.html	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web)
01:35:11	70988/70988	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:35:12%20GMT	https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5577746-gerez-vos-dependances	openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5577746-gerez-vos-dependances.html	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web)
01:35:13	90521/90521	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:35:12%20GMT	https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5577766-compilez-et-executez-votre-code	openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5577766-compilez-et-executez-votre-code.html	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web)
01:35:14	66223/66223	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:35:14%20GMT	https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/exercises/4097	openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/exercises/4097.html	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web)
01:35:15	83365/83365	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:35:15%20GMT	https://openclassrooms.com/fr/courses/1603881-apprenez-a-creer-votre-site-web-avec-html5-et-css3	openclassrooms.com/fr/courses/1603881-apprenez-a-creer-votre-site-web-avec-html5-et-css3.html	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web)
01:35:16	77927/77927	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:35:16%20GMT	https://openclassrooms.com/fr/courses/6175841-apprenez-a-programmer-avec-javascript	openclassrooms.com/fr/courses/6175841-apprenez-a-programmer-avec-javascript.html	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web)
01:35:17	75682/75682	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:35:17%20GMT	https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web?status=published	openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web6f1b.html	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5543068-comprenez-ce-quest-le-dom)
01:35:18	10376/10376	---MC-	302	error ('Found')	text/html	date:Tue,%2007%20Sep%202021%2023:35:17%20GMT	https://openclassrooms.com/fr/courses/1603881-apprenez-a-creer-votre-site-web-avec-html5-et-css3/1605060-mettre-en-place-le-css	openclassrooms.com/fr/courses/1603881-apprenez-a-creer-votre-site-web-avec-html5-et-css3/1605060-mettre-en-place-le-css	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5577476-accedez-aux-elements-du-dom)
01:35:19	120632/120632	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:35:19%20GMT	https://openclassrooms.com/fr/courses/1603881-apprenez-a-creer-votre-site-web-avec-html5-et-css3/1605060-mettez-en-place-le-css	openclassrooms.com/fr/courses/1603881-apprenez-a-creer-votre-site-web-avec-html5-et-css3/1605060-mettez-en-place-le-css.html	(from https://openclassrooms.com/fr/courses/5543061-ecrivez-du-javascript-pour-le-web/5577476-accedez-aux-elements-du-dom)
01:35:22	211124/211124	---MC-	200	added ('OK')	application/pdf	date:Tue,%2007%20Sep%202021%2023:35:22%20GMT	https://openclassrooms.com/fr/courses/1603881/certificate_example	openclassrooms.com/fr/courses/1603881/certificate_example.pdf	(from https://openclassrooms.com/fr/courses/1603881-apprenez-a-creer-votre-site-web-avec-html5-et-css3)
01:35:22	114685/114685	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Sep%202021%2023:35:22%20GMT	https://openclassrooms.com/fr/courses/1603881-apprenez-a-creer-votre-site-web-avec-html5-et-css3/1604192-decouvrez-le-fonctionnement-des-sites-web	openclassrooms.com/fr/courses/1603881-apprenez-a-creer-votre-site-web-avec-html5-et-css3/1604192-decouvrez-le-fonctionnement-des-sites-web.html	(from https://openclassrooms.com/fr/courses/1603881-apprenez-a-creer-votre-site-web-avec-html5-et-css3)
